#########################################
# Deutsche Bundesliga 2014/15 Rückrunde


18. Spieltag

[Sa 31.1.]
  VfL Wolfsburg  -  Bayern München 
  Bayer Leverkusen  -  Borussia Dortmund 
  VfB Stuttgart  -  Bor. Mönchengladbach 
  FC Augsburg  -  1899 Hoffenheim 
  FC Schalke 04  -  Hannover 96 
  Werder Bremen  -  Hertha BSC 
  SC Freiburg   -  Eintracht Frankfurt 
  Hamburger SV   -  1. FC Köln 
  1. FSV Mainz 05  - SC Paderborn 07 
18.04.  (Sa) Werder Bremen Hamburger SV 
18.04.  (Sa) Hertha BSC 1. FC Köln 
18.04.  (Sa) Borussia Dortmund SC Paderborn 07 

Spieltag 30

25.04.  (Sa) 1. FSV Mainz 05 FC Schalke 04 
25.04.  (Sa) 1. FC Köln Bayer Leverkusen 
25.04.  (Sa) Bor. Mönchengladbach VfL Wolfsburg 
25.04.  (Sa) Hamburger SV FC Augsburg 
25.04.  (Sa) Hannover 96 1899 Hoffenheim 
25.04.  (Sa) Bayern München Hertha BSC 
25.04.  (Sa) SC Paderborn 07 Werder Bremen 
25.04.  (Sa) Borussia Dortmund Eintracht Frankfurt 
25.04.  (Sa) VfB Stuttgart SC Freiburg 

Spieltag 31

02.05.  (Sa) Bayer Leverkusen Bayern München 
02.05.  (Sa) 1899 Hoffenheim Borussia Dortmund 
02.05.  (Sa) Hertha BSC Bor. Mönchengladbach 
02.05.  (Sa) VfL Wolfsburg Hannover 96 
02.05.  (Sa) Werder Bremen Eintracht Frankfurt 
02.05.  (Sa) FC Schalke 04 VfB Stuttgart 
02.05.  (Sa) 1. FSV Mainz 05 Hamburger SV 
02.05.  (Sa) FC Augsburg 1. FC Köln 
02.05.  (Sa) SC Freiburg SC Paderborn 07 

Spieltag 32

09.05.  (Sa) 1. FC Köln FC Schalke 04 
09.05.  (Sa) Bor. Mönchengladbach Bayer Leverkusen 
09.05.  (Sa) SC Paderborn 07 VfL Wolfsburg 
09.05.  (Sa) VfB Stuttgart 1. FSV Mainz 05 
09.05.  (Sa) Bayern München FC Augsburg 
09.05.  (Sa) Eintracht Frankfurt 1899 Hoffenheim 
09.05.  (Sa) Borussia Dortmund Hertha BSC 
09.05.  (Sa) Hannover 96 Werder Bremen 
09.05.  (Sa) Hamburger SV SC Freiburg 

Spieltag 33

16.05.  (Sa) SC Freiburg Bayern München 
16.05.  (Sa) VfL Wolfsburg Borussia Dortmund 
16.05.  (Sa) Werder Bremen Bor. Mönchengladbach 
16.05.  (Sa) Bayer Leverkusen 1899 Hoffenheim 
16.05.  (Sa) FC Augsburg Hannover 96 
16.05.  (Sa) Hertha BSC Eintracht Frankfurt 
16.05.  (Sa) VfB Stuttgart Hamburger SV 
16.05.  (Sa) 1. FSV Mainz 05 1. FC Köln 
16.05.  (Sa) FC Schalke 04 SC Paderborn 07 

Spieltag 34

23.05.  (Sa) Hamburger SV FC Schalke 04 
23.05.  (Sa) Eintracht Frankfurt Bayer Leverkusen 
23.05.  (Sa) 1. FC Köln VfL Wolfsburg 
23.05.  (Sa) Bayern München 1. FSV Mainz 05 
23.05.  (Sa) Bor. Mönchengladbach FC Augsburg 
23.05.  (Sa) 1899 Hoffenheim Hertha BSC 
23.05.  (Sa) Borussia Dortmund Werder Bremen 
23.05.  (Sa) Hannover 96 SC Freiburg 
23.05.  (Sa) SC Paderborn 07 VfB Stuttgart 

